Time,Detected Labels,Status,Snapshot
19:50:02,"potter's wheel (11.4%); marimba, xylophone (10.6%); Indian cobra, Naja naja (6.1%)",SAFE,N/A
19:50:02,"potter's wheel (13.9%); marimba, xylophone (7.3%); drum, membranophone, tympan (5.7%)",SAFE,N/A
19:50:03,"marimba, xylophone (9.9%); abaya (7.6%); drum, membranophone, tympan (5.2%)",SAFE,N/A
19:50:03,"abaya (11.4%); marimba, xylophone (11.2%); potter's wheel (4.2%)",SAFE,N/A
19:50:03,"abaya (17.8%); marimba, xylophone (5.8%); drum, membranophone, tympan (3.5%)",SAFE,N/A
19:50:04,"abaya (8.5%); marimba, xylophone (7.5%); drumstick (3.8%)",SAFE,N/A
19:50:04,"marimba, xylophone (8.7%); drumstick (6.3%); drum, membranophone, tympan (4.0%)",SAFE,N/A
19:50:04,"marimba, xylophone (8.8%); abaya (5.8%); drumstick (3.8%)",SAFE,N/A
19:50:04,"abaya (13.3%); marimba, xylophone (5.3%); maraca (3.5%)",SAFE,N/A
19:50:05,"potter's wheel (8.4%); marimba, xylophone (4.2%); maraca (3.4%)",SAFE,N/A
19:50:05,potter's wheel (7.3%); drumstick (5.9%); maraca (5.1%),SAFE,N/A
19:50:05,"potter's wheel (8.7%); marimba, xylophone (5.0%); maraca (4.6%)",SAFE,N/A
19:50:06,"potter's wheel (7.5%); marimba, xylophone (5.7%); jackfruit, jak, jack (4.6%)",SAFE,N/A
19:50:06,"potter's wheel (6.8%); marimba, xylophone (4.7%); maraca (3.6%)",SAFE,N/A
19:50:06,"marimba, xylophone (4.1%); maraca (3.6%); potter's wheel (3.3%)",SAFE,N/A
19:50:07,"marimba, xylophone (6.1%); potter's wheel (5.6%); drum, membranophone, tympan (4.8%)",SAFE,N/A
19:50:07,"drumstick (4.9%); drum, membranophone, tympan (4.3%); potter's wheel (4.1%)",SAFE,N/A
19:50:07,"drum, membranophone, tympan (8.9%); drumstick (8.5%); marimba, xylophone (5.2%)",SAFE,N/A
19:50:07,"abaya (7.3%); marimba, xylophone (6.5%); drum, membranophone, tympan (6.5%)",SAFE,N/A
19:50:08,"abaya (34.4%); drum, membranophone, tympan (5.8%); drumstick (3.1%)",SAFE,N/A
19:50:08,"cleaver, meat cleaver, chopper (98.9%); scabbard (0.3%); hatchet (0.1%)",SAFE,N/A
19:50:08,"cleaver, meat cleaver, chopper (98.6%); scabbard (0.4%); hatchet (0.1%)",SAFE,N/A
19:50:09,"cleaver, meat cleaver, chopper (93.2%); scabbard (1.5%); hatchet (0.7%)",SAFE,N/A
19:50:09,"cleaver, meat cleaver, chopper (73.6%); scabbard (3.0%); letter opener, paper knife, paperknife (2.4%)",SAFE,N/A
19:50:09,"cleaver, meat cleaver, chopper (80.4%); scabbard (3.3%); letter opener, paper knife, paperknife (2.0%)",SAFE,N/A
19:50:10,"cleaver, meat cleaver, chopper (39.6%); letter opener, paper knife, paperknife (5.2%); scabbard (4.2%)",SAFE,N/A
19:50:10,"cleaver, meat cleaver, chopper (62.6%); letter opener, paper knife, paperknife (4.2%); scabbard (3.1%)",SAFE,N/A
19:50:10,"cleaver, meat cleaver, chopper (51.6%); letter opener, paper knife, paperknife (4.4%); scabbard (3.9%)",SAFE,N/A
19:50:10,"cleaver, meat cleaver, chopper (36.4%); scabbard (10.1%); letter opener, paper knife, paperknife (9.0%)",SAFE,N/A
19:50:11,"revolver, six-gun, six-shooter (24.8%); cleaver, meat cleaver, chopper (15.3%); assault rifle, assault gun (9.5%)",SAFE,N/A
19:50:11,"revolver, six-gun, six-shooter (34.5%); rifle (25.0%); assault rifle, assault gun (20.4%)",ALERT,alert_20250414_195011_1.jpg
19:50:15,"potter's wheel (7.2%); marimba, xylophone (6.7%); drum, membranophone, tympan (4.7%)",SAFE,N/A
20:25:19,"jackfruit, jak, jack (3.5%); marimba, xylophone (3.4%); drumstick (3.0%)",SAFE,N/A
20:25:35,"abaya (9.4%); drum, membranophone, tympan (6.8%); potter's wheel (6.0%)",SAFE,N/A
20:25:47,"cleaver, meat cleaver, chopper (99.6%); scabbard (0.1%); hatchet (0.0%)",SAFE,N/A
20:25:50,"cleaver, meat cleaver, chopper (72.1%); scabbard (18.4%); letter opener, paper knife, paperknife (2.5%)",SAFE,N/A
20:25:55,"cleaver, meat cleaver, chopper (86.9%); scabbard (2.6%); letter opener, paper knife, paperknife (1.2%)",SAFE,N/A
20:25:56,"cleaver, meat cleaver, chopper (79.7%); scabbard (4.6%); letter opener, paper knife, paperknife (3.7%)",SAFE,N/A
20:25:59,"Injection (95.6%); screwdriver (0.4%); cleaver, meat cleaver, chopper (0.2%)",SAFE,N/A
20:26:20,"cleaver, meat cleaver, chopper (75.5%); scabbard (8.2%); letter opener, paper knife, paperknife (5.7%)",SAFE,N/A
20:26:21,"cleaver, meat cleaver, chopper (54.3%); scabbard (14.3%); letter opener, paper knife, paperknife (10.0%)",SAFE,N/A
20:26:31,"cleaver, meat cleaver, chopper (75.3%); rule, ruler (3.6%); letter opener, paper knife, paperknife (2.7%)",SAFE,N/A
20:26:36,"cleaver, meat cleaver, chopper (28.9%); abaya (10.7%); letter opener, paper knife, paperknife (8.1%)",SAFE,N/A
20:36:08,"abaya (15.6%); potter's wheel (6.5%); marimba, xylophone (4.4%)",SAFE,N/A
20:36:26,"potter's wheel (12.5%); drumstick (6.2%); drum, membranophone, tympan (3.8%)",SAFE,N/A
20:36:29,"drum, membranophone, tympan (8.8%); potter's wheel (5.7%); drumstick (4.3%)",SAFE,N/A
20:42:09,"drum, membranophone, tympan (19.2%); potter's wheel (8.9%); drumstick (7.9%)",SAFE,N/A
20:42:10,"drum, membranophone, tympan (20.8%); drumstick (11.7%); steel drum (4.3%)",SAFE,N/A
20:42:10,"drumstick (9.4%); drum, membranophone, tympan (5.9%); marimba, xylophone (3.1%)",SAFE,N/A
20:42:10,"drumstick (6.9%); drum, membranophone, tympan (5.8%); potter's wheel (5.4%)",SAFE,N/A
